tabela,bytes_total,tamanho_total,tamanho_dados,tamanho_indices,linhas_estimadas
dedeppsp,8192,8192 bytes,0 bytes,8192 bytes,0
deducdarf,8192,8192 bytes,0 bytes,8192 bytes,0
defis_campeleitoral,8192,8192 bytes,0 bytes,8192 bytes,0
demonsicmsaereo,8192,8192 bytes,0 bytes,8192 bytes,0
demonstrativotributos,8192,8192 bytes,0 bytes,8192 bytes,0
dependentes,8192,8192 bytes,0 bytes,8192 bytes,0
destda_antecipacao,8192,8192 bytes,0 bytes,8192 bytes,0
destda_antsituacao,8192,8192 bytes,0 bytes,8192 bytes,0
destda_icmsst,8192,8192 bytes,0 bytes,8192 bytes,0
destda_icmsvendasintconsfinal,8192,8192 bytes,0 bytes,8192 bytes,0
destda_icmsvendasintconsfinaluf,8192,8192 bytes,0 bytes,8192 bytes,0
destda_identificacao,8192,8192 bytes,0 bytes,8192 bytes,0
destda_infarqassociados,8192,8192 bytes,0 bytes,8192 bytes,0
destda_respcont,8192,8192 bytes,0 bytes,8192 bytes,0
destda_stporuf,8192,8192 bytes,0 bytes,8192 bytes,0
detalhamento_2010,8192,8192 bytes,0 bytes,8192 bytes,0
detalhamento_2020,8192,8192 bytes,0 bytes,8192 bytes,0
detalhamento_2060,8192,8192 bytes,0 bytes,8192 bytes,0
detalhamentoreceitas,8192,8192 bytes,0 bytes,8192 bytes,0
detsaiint,8192,8192 bytes,0 bytes,8192 bytes,0
detzfmalc,8192,8192 bytes,0 bytes,8192 bytes,0
devsertransp,8192,8192 bytes,0 bytes,8192 bytes,0
diamensal,8192,8192 bytes,0 bytes,8192 bytes,0
diamensalprod,8192,8192 bytes,0 bytes,8192 bytes,0
diaresponsavel,8192,8192 bytes,0 bytes,8192 bytes,0
dimeficha12,8192,8192 bytes,0 bytes,8192 bytes,0
dimeficha15,8192,8192 bytes,0 bytes,8192 bytes,0
dimeficha46,8192,8192 bytes,0 bytes,8192 bytes,0
dimemensal,8192,8192 bytes,0 bytes,8192 bytes,0
dimemensal2,8192,8192 bytes,0 bytes,8192 bytes,0
dipamme,8192,8192 bytes,0 bytes,8192 bytes,0
dipamne,8192,8192 bytes,0 bytes,8192 bytes,0
dipjcad,8192,8192 bytes,0 bytes,8192 bytes,0
distrvarj,8192,8192 bytes,0 bytes,8192 bytes,0
dmedbeneficiarios,8192,8192 bytes,0 bytes,8192 bytes,0
dmedbenprestserv,8192,8192 bytes,0 bytes,8192 bytes,0
dmedprestserv,8192,8192 bytes,0 bytes,8192 bytes,0
docefd,8192,8192 bytes,0 bytes,8192 bytes,0
docfiscaisutiliz,8192,8192 bytes,0 bytes,8192 bytes,0
docfisccancinutiliz,8192,8192 bytes,0 bytes,8192 bytes,0
ecfengrev,8192,8192 bytes,0 bytes,8192 bytes,0
ecftotalizador,8192,8192 bytes,0 bytes,8192 bytes,0
ecredac_devolucao_entrada,8192,8192 bytes,0 bytes,8192 bytes,0
ecredac_infoger_saida,8192,8192 bytes,0 bytes,8192 bytes,0
efd_piscofins,8192,8192 bytes,0 bytes,8192 bytes,0
efdcfgobrigicmsrecol,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_bilcontransp,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_compoper,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_compopers,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_credpresestoque,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_custoincuniimob,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_custoorcuniimob,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_detcustoincuniimob,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_extemp,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_extemp2,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_extempcred,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_extempdet,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_folhasalario,8192,8192 bytes,0 bytes,8192 bytes,0
efdpiscof_incorimobret,8192,8192 bytes,0 bytes,8192 bytes,0
transpctrc,8192,8192 bytes,0 bytes,8192 bytes,0
transplce,8192,8192 bytes,0 bytes,8192 bytes,0
uf,8192,8192 bytes,0 bytes,8192 bytes,0
valcontdfc,8192,8192 bytes,0 bytes,8192 bytes,0
valdeclinfoadicapuricms,8192,8192 bytes,0 bytes,8192 bytes,0
ajustereinf,8192,8192 bytes,0 bytes,8192 bytes,0
tipocreditosefd,8192,8192 bytes,0 bytes,8192 bytes,0
tipomr,8192,8192 bytes,0 bytes,8192 bytes,0
tomadoscentrocusto,8192,8192 bytes,0 bytes,8192 bytes,0
tomadosmultiplas,8192,8192 bytes,0 bytes,8192 bytes,0
tottanq,8192,8192 bytes,0 bytes,8192 bytes,0
simplna,0,0 bytes,0 bytes,0 bytes,0
cfgimpnotas,0,0 bytes,0 bytes,0 bytes,0
recalculo,0,0 bytes,0 bytes,0 bytes,0
ecredac_dadexp_saida,0,0 bytes,0 bytes,0 bytes,0
hist_toma,0,0 bytes,0 bytes,0 bytes,0
dadosintfatura,0,0 bytes,0 bytes,0 bytes,0
