                         List of relations
 gen    | infvaldocfiscalpadrao                 | table | sageuser
 gen    | inicalcrotinas                        | table | sageuser
 gen    | iniciocalculo                         | table | sageuser
 gen    | intoutrec                             | table | sageuser
 gen    | ipsifedados                           | table | sageuser
 gen    | ipsifemp                              | table | sageuser
 gen    | ipsinfsdet                            | table | sageuser
 gen    | ipsintnfs                             | table | sageuser
 gen    | irpjtxselic                           | table | sageuser
 gen    | isscodr                               | table | sageuser
 gen    | itensufefd                            | table | sageuser
 gen    | lanc_issqn                            | table | sageuser
 gen    | lograd                                | table | sageuser
 gen    | logradouros                           | table | sageuser
 gen    | mailcfg                               | table | sageuser
 gen    | menuinterativo                        | table | sageuser
 gen    | modelos                               | table | sageuser
 gen    | motivostransf                         | table | sageuser
 gen    | msgsprevalidc                         | table | sageuser
 gen    | mundeclan                             | table | sageuser
 gen    | munzfmalc                             | table | sageuser
 gen    | natcontr                              | table | sageuser
 gen    | natespemp                             | table | sageuser
 gen    | natopissnet                           | table | sageuser
 gen    | naturezafrete                         | table | sageuser
 gen    | naturezaoperacao                      | table | sageuser
 gen    | naturezareceita                       | table | sageuser
 gen    | naturezarend_codigoretencao           | table | sageuser
 gen    | nbmefd                                | table | sageuser
 gen    | nfsebarueri                           | table | sageuser
 gen    | nfseginfes                            | table | sageuser
 gen    | nfselimeira                           | table | sageuser
 gen    | nfsemanaus                            | table | sageuser
 gen    | nfsesantana                           | table | sageuser
 gen    | nomefila                              | table | sageuser
 gen    | opcoes                                | table | sageuser
 gen    | origemcred                            | table | sageuser
 gen    | outsoft                               | table | sageuser
 gen    | paisesfiscal                          | table | sageuser
 gen    | parametr                              | table | sageuser
 gen    | piscofinses                           | table | sageuser
 gen    | plano                                 | table | sageuser
 gen    | planoda                               | table | sageuser
 gen    | planodt                               | table | sageuser
 gen    | prefeitu                              | table | sageuser
 gen    | pro_ser                               | table | sageuser
 gen    | procontprevi                          | table | sageuser
 gen    | procontprevicopia                     | table | sageuser
 gen    | proxycfg                              | table | sageuser
 gen    | qtdacess                              | table | sageuser
 gen    | receitasdetalhamento                  | table | sageuser
 gen    | registrosefdpadrao                    | table | sageuser
 gen    | regoper                               | table | sageuser
 gen    | reinf_data_trimestral                 | table | sageuser
 gen    | reinfcertificadodigital               | table | sageuser
 gen    | reinfconfiguracao                     | table | sageuser
 gen    | reinfempconfiguracao                  | table | sageuser
 gen    | reinfexcecao                          | table | sageuser
 gen    | reinfncm                              | table | sageuser
 gen    | reinfstatus                           | table | sageuser
 gen    | relacaofontepagbeneficiario           | table | sageuser
 gen    | resp                                  | table | sageuser
 gen    | responsavelsn                         | table | sageuser
 gen    | sefaz                                 | table | sageuser
 gen    | sefazmg                               | table | sageuser
 gen    | serissnet                             | table | sageuser
 gen    | serv_nfe                              | table | sageuser
 gen    | servicos                              | table | sageuser
 gen    | sintet                                | table | sageuser
 gen    | sittrib                               | table | sageuser
 gen    | situacaodief                          | table | sageuser
 gen    | situacaodoc                           | table | sageuser
 gen    | sormodiss                             | table | sageuser
 gen    | sornatiss                             | table | sageuser
 gen    | spais                                 | table | sageuser
 gen    | st_cof                                | table | sageuser
 gen    | st_icmsa                              | table | sageuser
 gen    | st_icmsb                              | table | sageuser
 gen    | st_ipi                                | table | sageuser
 gen    | st_pis                                | table | sageuser
 gen    | stb_cte                               | table | sageuser
 gen    | tab_credpresumido                     | table | sageuser
 gen    | tabelafml                             | table | sageuser
 gen    | tabelasimp20                          | table | sageuser
 gen    | tabgmb                                | table | sageuser
 gen    | tabirrf                               | table | sageuser
 gen    | tabmunicip                            | table | sageuser
 gen    | tabocorresprjpadrao                   | table | sageuser
 gen    | tabpr                                 | table | sageuser
 gen    | tabrsanec                             | table | sageuser
 gen    | tabrscredpres                         | table | sageuser
 gen    | tabrsisensaid                         | table | sageuser
 gen    | tabrsoutcred                          | table | sageuser
 gen    | tabrsoutdeb                           | table | sageuser
 gen    | tabrsoutsaid                          | table | sageuser
 gen    | tabrstransrec                         | table | sageuser
 gen    | tabservrj                             | table | sageuser
 gen    | tabservrjpadrao                       | table | sageuser
 gen    | tabsim                                | table | sageuser
 gen    | tabsimp                               | table | sageuser
 gen    | tabsimpp                              | table | sageuser
 gen    | tabsimpr                              | table | sageuser
 gen    | tabvarj                               | table | sageuser
 gen    | tblversaoscript                       | table | sageuser
 gen    | tipctard                              | table | sageuser
 gen    | tipo_lanc                             | table | sageuser
 gen    | tipoconhec                            | table | sageuser
 gen    | tipocred                              | table | sageuser
 gen    | tipoeventoesocialreinf                | table | sageuser
 gen    | tipomercadoria                        | table | sageuser
 gen    | tipooperimob                          | table | sageuser
 gen    | tipoprod                              | table | sageuser
 gen    | tiposerv                              | table | sageuser
 gen    | tipouniimobvend                       | table | sageuser
 gen    | tpdocisscamp                          | table | sageuser
 gen    | tplancgeis                            | table | sageuser
 gen    | tpnfgeis                              | table | sageuser
 gen    | tpreccomunicacao                      | table | sageuser
 gen    | tribespecnfse                         | table | sageuser
 gen    | tributacao                            | table | sageuser
 gen    | ufreg54                               | table | sageuser
 gen    | ultimonsu                             | table | sageuser
 gen    | valoraquibensativimo                  | table | sageuser
 gen    | valoraquicodbascalc                   | table | sageuser
 gen    | vencimen                              | table | sageuser
 gen    | zfm                                   | table | sageuser
(273 rows)

